날짜,평균기온,최고기온,최저기온,평균운량,일강수량
2020-02-06,-6.4℃,0.4℃,-11.8℃,0.9,0
2020-02-07,-1.7℃,2.2℃,-7.2℃,8.9,0.0mm
2020-02-08,-0.1℃,3.7℃,-2.3℃,2.5,0.0mm
2020-02-09,-0.5℃,4.1℃,-5.6℃,2.8,0.0mm
2020-02-10,4.0℃,9.6℃,-0.7℃,1.1,0.0mm
2020-02-11,6.8℃,14.6℃,-0.5℃,2.3,0
2020-02-12,7.4℃,8.2℃,6.5℃,9.9,6.7mm
2020-02-13,6.5℃,8.7℃,4.9℃,9.1,0
2020-02-14,8.1℃,14.7℃,3.2℃,2.1,0
2020-02-15,9.8℃,15.6℃,6.2℃,5.8,2.0mm
2020-02-16,-1.4℃,7.7℃,-4.3℃,8.9,13.4mm
2020-02-17,-5.9℃,-3.9℃,-7.1℃,6.5,1.0mm
2020-02-18,-4.1℃,1.3℃,-8.3℃,0.0,0
2020-02-19,1.0℃,6.4℃,-4.4℃,6.0,0
2020-02-20,4.6℃,10.8℃,-0.6℃,2.5,0
2020-02-21,6.7℃,10.9℃,2.1℃,9.3,4.2mm
2020-02-22,4.0℃,7.9℃,0.0℃,5.9,3.1mm
2020-02-23,2.5℃,8.0℃,-2.5℃,0.9,0
2020-02-24,7.0℃,12.2℃,0.8℃,7.0,0
2020-02-25,6.7℃,9.4℃,4.7℃,7.5,16.6mm
2020-02-26,6.4℃,10.4℃,2.8℃,5.3,0.0mm
2020-02-27,6.1℃,12.5℃,1.3℃,2.6,0
2020-02-28,4.5℃,5.9℃,3.6℃,9.8,3.9mm
2020-02-29,7.7℃,13.0℃,4.5℃,3.0,0.5mm
2020-03-01,5.8℃,10.1℃,3.2℃,8.1,0.2mm
2020-03-02,3.4℃,7.6℃,0.0℃,1.6,0.0mm
2020-03-03,4.8℃,10.5℃,0.3℃,6.5,0
2020-03-04,2.2℃,4.6℃,-1.3℃,5.1,0.0mm
2020-03-05,1.4℃,6.3℃,-2.8℃,0.0,0
2020-03-06,3.7℃,10.1℃,-2.5℃,2.5,0
2020-03-07,7.0℃,14.2℃,1.3℃,5.4,0
2020-03-08,9.3℃,16.9℃,2.3℃,0.3,0
2020-03-09,11.1℃,17.6℃,4.8℃,6.5,0
2020-03-10,6.4℃,10.8℃,3.2℃,7.5,11.8mm
2020-03-11,3.8℃,8.3℃,0.0℃,0.0,0
2020-03-12,6.8℃,13.3℃,0.2℃,4.0,0
2020-03-13,4.9℃,8.7℃,-0.1℃,6.6,0.5mm
2020-03-14,3.6℃,8.6℃,-2.7℃,2.1,0
2020-03-15,4.0℃,8.5℃,0.2℃,3.1,0
2020-03-16,3.6℃,9.1℃,-2.1℃,1.0,0
2020-03-17,6.6℃,12.3℃,3.1℃,4.8,0
2020-03-18,10.0℃,17.0℃,2.7℃,0.0,0
2020-03-19,9.1℃,12.1℃,5.8℃,3.4,0.0mm
2020-03-20,8.8℃,14.0℃,3.1℃,0.4,0
2020-03-21,12.8℃,19.5℃,7.9℃,6.9,0
2020-03-22,11.0℃,16.5℃,6.1℃,0.1,0
2020-03-23,10.6℃,17.0℃,5.4℃,0.0,0
2020-03-24,11.4℃,17.9℃,5.3℃,0.0,0
2020-03-25,12.5℃,19.2℃,6.1℃,4.0,0
2020-03-26,14.8℃,20.6℃,8.1℃,6.9,1.8mm
2020-03-27,11.9℃,15.8℃,6.7℃,5.1,2.0mm
2020-03-28,7.7℃,12.8℃,4.5℃,5.1,0
2020-03-29,8.7℃,16.1℃,1.3℃,1.5,0
2020-03-30,10.2℃,16.9℃,4.3℃,0.9,0
2020-03-31,11.9℃,18.6℃,4.7℃,5.5,0
2020-04-01,11.3℃,17.4℃,6.0℃,3.5,0
2020-04-02,9.3℃,15.5℃,3.4℃,2.6,0
2020-04-03,10.0℃,16.3℃,5.3℃,1.3,0
2020-04-04,8.9℃,13.3℃,5.0℃,0.8,0
2020-04-05,7.2℃,13.7℃,1.9℃,0.0,0
2020-04-06,9.3℃,16.1℃,2.9℃,3.5,0
2020-04-07,10.6℃,16.8℃,6.0℃,2.1,0
2020-04-08,9.4℃,14.2℃,5.2℃,0.0,0
2020-04-09,8.9℃,14.7℃,4.3℃,1.3,0
2020-04-10,10.7℃,16.8℃,5.8℃,4.8,0
2020-04-11,9.9℃,16.0℃,6.2℃,4.8,0
2020-04-12,9.9℃,15.6℃,4.4℃,3.1,0
2020-04-13,12.4℃,20.4℃,4.3℃,1.9,0
2020-04-14,13.0℃,19.6℃,7.6℃,1.3,0
2020-04-15,13.2℃,20.2℃,7.2℃,5.4,0
2020-04-16,16.0℃,23.8℃,8.9℃,2.9,0
2020-04-17,12.5℃,15.4℃,10.4℃,9.1,6.5mm
2020-04-18,13.5℃,19.6℃,8.5℃,2.6,0
2020-04-19,12.3℃,15.5℃,9.5℃,9.5,10.3mm
2020-04-20,10.0℃,13.1℃,7.6℃,7.4,0.1mm
2020-04-21,7.4℃,10.4℃,4.8℃,3.6,0
2020-04-22,6.0℃,8.3℃,4.1℃,4.1,0.0mm
2020-04-23,7.9℃,12.8℃,2.9℃,1.6,0
2020-04-24,9.9℃,14.3℃,4.1℃,1.8,0
2020-04-25,13.1℃,17.1℃,9.9℃,3.3,0
2020-04-26,12.3℃,19.0℃,6.8℃,0.8,0
2020-04-27,12.9℃,18.3℃,8.7℃,3.4,0
2020-04-28,13.9℃,19.9℃,7.8℃,0.0,0
2020-04-29,14.9℃,21.0℃,9.3℃,0.4,0
2020-04-30,17.1℃,23.4℃,9.3℃,5.3,0
2020-05-01,20.2℃,26.2℃,16.4℃,6.6,0
2020-05-02,20.3℃,23.9℃,18.0℃,9.0,0.0mm
2020-05-03,21.8℃,27.4℃,17.0℃,7.0,0.0mm
2020-05-04,20.2℃,25.3℃,14.8℃,3.4,0
2020-05-05,16.0℃,19.3℃,13.1℃,5.4,0
2020-05-06,19.4℃,27.6℃,11.1℃,1.8,0
2020-05-07,20.7℃,26.5℃,14.9℃,6.8,0
2020-05-08,19.9℃,27.3℃,14.3℃,7.4,2.3mm
2020-05-09,14.2℃,16.8℃,12.7℃,10.0,24.4mm
2020-05-10,14.4℃,16.6℃,12.8℃,9.0,1.3mm
2020-05-11,16.5℃,22.0℃,12.4℃,8.1,3.4mm
2020-05-12,14.3℃,18.9℃,10.5℃,3.3,0.7mm
2020-05-13,16.1℃,21.8℃,10.2℃,0.6,0
2020-05-14,19.3℃,25.4℃,12.4℃,8.3,0
2020-05-15,16.1℃,20.2℃,14.1℃,10.0,12.0mm
2020-05-16,16.7℃,20.3℃,15.0℃,9.5,2.5mm
2020-05-17,19.1℃,24.9℃,14.6℃,7.1,0.0mm
2020-05-18,19.1℃,26.8℃,13.2℃,8.5,29.8mm
2020-05-19,13.0℃,17.1℃,10.1℃,7.6,19.0mm
2020-05-20,14.4℃,20.1℃,9.2℃,6.0,0.0mm
2020-05-21,17.4℃,22.9℃,10.9℃,4.8,0
2020-05-22,18.5℃,22.7℃,14.8℃,8.6,0.0mm
2020-05-23,20.1℃,25.0℃,16.6℃,7.4,0.0mm
2020-05-24,17.1℃,20.2℃,14.3℃,8.4,14.5mm
2020-05-25,16.6℃,21.3℃,13.7℃,8.1,0
2020-05-26,16.2℃,22.9℃,12.7℃,7.8,1.5mm
2020-05-27,17.4℃,23.9℃,11.8℃,1.5,0
2020-05-28,18.7℃,23.4℃,14.2℃,3.9,0.0mm
2020-05-29,20.7℃,27.6℃,14.6℃,1.3,0
2020-05-30,22.6℃,30.0℃,16.5℃,1.1,0
2020-05-31,21.2℃,28.0℃,17.6℃,8.5,1.0mm
2020-06-01,19.7℃,24.5℃,16.6℃,3.8,0.4mm
2020-06-02,17.9℃,21.8℃,14.8℃,9.3,2.0mm
2020-06-03,22.0℃,28.4℃,17.6℃,5.8,0
2020-06-04,21.9℃,26.5℃,19.7℃,8.4,0.2mm
2020-06-05,23.0℃,28.7℃,18.4℃,5.5,0
2020-06-06,24.6℃,30.9℃,19.2℃,2.3,0
2020-06-07,22.7℃,29.2℃,19.2℃,3.3,0
2020-06-08,25.0℃,32.0℃,19.8℃,3.0,0
2020-06-09,26.7℃,32.8℃,20.3℃,3.0,0
2020-06-10,25.8℃,32.1℃,22.5℃,9.0,6.2mm
2020-06-11,26.1℃,31.6℃,21.7℃,5.8,0.0mm
2020-06-12,24.7℃,27.6℃,21.6℃,8.1,0
2020-06-13,26.9℃,33.5℃,20.6℃,5.5,0.0mm
2020-06-14,24.0℃,28.8℃,20.1℃,4.4,1.1mm
2020-06-15,23.0℃,28.6℃,18.2℃,6.0,0
2020-06-16,24.4℃,30.7℃,20.0℃,6.0,0
2020-06-17,24.3℃,30.3℃,20.2℃,7.4,0
2020-06-18,23.4℃,27.3℃,20.3℃,9.0,0
2020-06-19,24.7℃,30.0℃,21.1℃,6.3,0.1mm
2020-06-20,24.9℃,29.7℃,20.7℃,0.9,0
2020-06-21,26.1℃,32.7℃,19.5℃,0.1,0
2020-06-22,28.6℃,35.4℃,21.7℃,1.6,0
2020-06-23,27.3℃,31.0℃,23.2℃,7.5,0.0mm
2020-06-24,22.3℃,26.3℃,19.9℃,10.0,37.6mm
2020-06-25,21.6℃,23.4℃,20.1℃,10.0,13.3mm
2020-06-26,21.8℃,25.7℃,19.2℃,8.3,2.1mm
2020-06-27,24.1℃,29.6℃,20.4℃,6.1,0.0mm
2020-06-28,25.2℃,30.1℃,21.5℃,1.9,0
2020-06-29,23.8℃,26.5℃,20.6℃,8.6,11.9mm
2020-06-30,20.1℃,23.1℃,18.4℃,10.0,64.7mm
2020-07-01,21.1℃,24.3℃,18.1℃,7.6,0.0mm
2020-07-02,24.2℃,29.8℃,20.4℃,6.6,0
2020-07-03,25.5℃,30.6℃,21.6℃,6.8,0.1mm
2020-07-04,24.2℃,29.5℃,20.4℃,7.6,1.6mm
2020-07-05,23.8℃,27.6℃,19.9℃,5.3,0
2020-07-06,25.6℃,30.9℃,21.8℃,7.4,0
2020-07-07,24.1℃,28.1℃,22.1℃,6.3,0.0mm
2020-07-08,25.5℃,30.4℃,21.3℃,2.9,0
2020-07-09,27.5℃,32.9℃,21.8℃,4.8,0
2020-07-10,24.5℃,27.7℃,22.7℃,6.6,2.2mm
2020-07-11,25.8℃,30.2℃,22.2℃,7.3,0
2020-07-12,23.5℃,26.0℃,21.7℃,9.1,2.9mm
2020-07-13,18.7℃,21.7℃,17.7℃,10.0,47.6mm
2020-07-14,20.3℃,24.3℃,17.2℃,9.9,11.5mm
2020-07-15,23.4℃,28.7℃,18.9℃,5.1,0
2020-07-16,25.0℃,29.7℃,20.4℃,4.1,0
2020-07-17,26.0℃,31.6℃,21.5℃,4.5,0.0mm
2020-07-18,26.1℃,31.0℃,22.8℃,5.4,0
2020-07-19,24.0℃,26.6℃,20.6℃,9.9,29.1mm
2020-07-20,23.8℃,26.6℃,22.4℃,9.6,3.6mm
2020-07-21,25.0℃,30.5℃,21.4℃,6.3,0.0mm
2020-07-22,23.7℃,25.7℃,22.6℃,9.8,11.5mm
2020-07-23,21.1℃,22.6℃,18.5℃,10.0,103.1mm
2020-07-24,22.5℃,26.8℃,18.7℃,9.3,2.9mm
2020-07-25,24.3℃,29.0℃,22.3℃,7.8,0.0mm
2020-07-26,25.4℃,29.6℃,21.6℃,7.4,0.0mm
2020-07-27,24.3℃,25.5℃,22.9℃,10.0,2.2mm
2020-07-28,24.4℃,26.4℃,22.7℃,9.9,0.4mm
2020-07-29,23.7℃,24.9℃,22.6℃,10.0,50.1mm
2020-07-30,25.3℃,28.4℃,23.4℃,8.3,0.1mm
2020-07-31,26.2℃,29.6℃,22.8℃,6.9,1.5mm
2020-08-01,25.3℃,26.9℃,24.3℃,9.8,39.1mm
2020-08-02,24.9℃,26.4℃,23.5℃,10.0,31.4mm
2020-08-03,25.0℃,26.3℃,23.9℃,10.0,102.6mm
2020-08-04,27.0℃,29.4℃,25.0℃,9.6,3.9mm
2020-08-05,26.5℃,29.1℃,25.5℃,9.8,18.5mm
2020-08-06,24.1℃,26.0℃,22.9℃,8.0,75.7mm
2020-08-07,24.3℃,26.1℃,22.6℃,9.0,0.0mm
2020-08-08,24.2℃,26.1℃,22.7℃,9.1,19.1mm
2020-08-09,24.9℃,25.8℃,23.7℃,9.8,50.3mm
2020-08-10,26.5℃,29.5℃,24.7℃,9.9,44.6mm
2020-08-11,24.6℃,27.3℃,22.4℃,9.5,97.0mm
2020-08-12,27.2℃,31.3℃,23.5℃,8.3,0
2020-08-13,28.0℃,30.3℃,26.3℃,8.5,0
2020-08-14,27.1℃,28.0℃,26.5℃,9.3,0.4mm
2020-08-15,26.1℃,27.0℃,25.0℃,9.3,69.0mm
2020-08-16,27.4℃,30.8℃,25.3℃,8.3,0
2020-08-17,28.2℃,32.2℃,26.1℃,4.4,0
2020-08-18,27.5℃,31.9℃,24.0℃,2.8,0
2020-08-19,27.1℃,31.4℃,23.6℃,2.3,0
2020-08-20,27.7℃,31.7℃,25.0℃,6.4,0
2020-08-21,26.6℃,29.2℃,25.2℃,8.8,2.5mm
2020-08-22,24.3℃,27.6℃,21.7℃,9.0,42.6mm
2020-08-23,25.3℃,29.9℃,21.5℃,6.0,0
2020-08-24,27.8℃,32.0℃,23.7℃,5.9,0
2020-08-25,29.9℃,34.5℃,26.0℃,5.9,0
2020-08-26,30.2℃,34.5℃,27.0℃,6.4,0.6mm
2020-08-27,27.1℃,28.6℃,25.6℃,9.9,8.7mm
2020-08-28,27.3℃,29.7℃,26.0℃,8.9,13.6mm
2020-08-29,26.8℃,29.0℃,25.5℃,8.4,13.6mm
2020-08-30,26.8℃,30.6℃,24.4℃,7.9,42.5mm
2020-08-31,26.4℃,30.0℃,23.8℃,8.8,0.0mm
2020-09-01,26.6℃,29.5℃,23.8℃,8.8,0.0mm
2020-09-02,24.3℃,26.4℃,22.6℃,9.6,33.3mm
2020-09-03,22.7℃,25.6℃,20.0℃,7.4,29.8mm
2020-09-04,23.3℃,27.5℃,19.9℃,1.6,0
2020-09-05,23.3℃,27.3℃,19.2℃,8.0,0
2020-09-06,21.7℃,24.4℃,19.5℃,9.4,6.4mm
2020-09-07,19.2℃,20.6℃,17.5℃,10.0,61.0mm
2020-09-08,23.4℃,26.5℃,20.6℃,5.4,0.0mm
2020-09-09,21.1℃,25.3℃,19.0℃,7.6,1.3mm
2020-09-10,22.8℃,27.0℃,18.8℃,6.3,3.9mm
2020-09-11,22.4℃,27.1℃,19.2℃,7.6,1.2mm
2020-09-12,20.2℃,23.2℃,18.1℃,9.5,5.7mm
2020-09-13,21.5℃,26.6℃,16.7℃,2.8,0
2020-09-14,21.3℃,24.9℃,17.6℃,4.6,0.0mm
2020-09-15,23.0℃,27.7℃,18.9℃,7.5,0
2020-09-16,22.5℃,24.9℃,21.3℃,9.4,0.3mm
2020-09-17,21.3℃,23.6℃,20.1℃,8.4,0
2020-09-18,21.5℃,25.8℃,18.1℃,3.1,0
2020-09-19,21.2℃,26.2℃,17.6℃,1.5,0.3mm
2020-09-20,19.7℃,24.9℃,15.6℃,0.0,0
2020-09-21,19.1℃,25.3℃,13.6℃,4.5,0
2020-09-22,20.2℃,25.6℃,15.5℃,3.1,0
2020-09-23,19.2℃,23.8℃,15.2℃,7.6,0
2020-09-24,20.6℃,25.4℃,16.8℃,6.6,0
2020-09-25,20.1℃,25.4℃,16.6℃,4.9,0
2020-09-26,19.3℃,24.8℃,14.8℃,4.0,0
2020-09-27,20.4℃,25.8℃,14.9℃,1.1,0
2020-09-28,20.7℃,26.5℃,15.7℃,1.1,0
2020-09-29,19.6℃,23.9℃,15.3℃,6.8,0
2020-09-30,19.6℃,25.7℃,16.2℃,7.1,38.3mm
2020-10-01,18.8℃,23.6℃,15.6℃,5.5,0
2020-10-02,19.2℃,21.9℃,16.3℃,9.1,0.0mm
2020-10-03,19.9℃,23.2℃,18.3℃,8.0,0.0mm
2020-10-04,16.6℃,21.8℃,10.6℃,7.1,0.0mm
2020-10-05,13.3℃,18.4℃,8.5℃,2.3,0
2020-10-06,14.2℃,19.7℃,9.3℃,2.5,0
2020-10-07,16.0℃,22.0℃,9.9℃,3.8,0
2020-10-08,17.2℃,23.1℃,12.1℃,0.1,0
2020-10-09,17.2℃,23.3℃,12.4℃,4.6,0
2020-10-10,16.9℃,21.5℃,12.3℃,5.3,0
2020-10-11,16.9℃,20.8℃,12.7℃,5.8,0
2020-10-12,16.2℃,21.3℃,12.1℃,2.6,0
2020-10-13,13.6℃,18.4℃,8.6℃,3.5,0
2020-10-14,12.8℃,18.0℃,8.5℃,6.6,0
2020-10-15,11.7℃,18.5℃,6.5℃,6.6,0
2020-10-16,11.8℃,15.4℃,8.6℃,7.6,0
2020-10-17,13.1℃,18.6℃,8.7℃,1.0,0
2020-10-18,13.6℃,20.2℃,7.2℃,0.5,0
2020-10-19,15.1℃,21.3℃,9.8℃,0.0,0
2020-10-20,15.2℃,21.7℃,9.9℃,0.4,0
2020-10-21,14.1℃,17.3℃,11.8℃,7.3,0
2020-10-22,13.5℃,18.2℃,8.4℃,4.6,0.0mm
2020-10-23,8.6℃,13.3℃,5.4℃,0.0,0
2020-10-24,8.7℃,14.0℃,3.2℃,0.0,0
2020-10-25,11.8℃,18.2℃,5.4℃,2.8,0
2020-10-26,12.9℃,19.0℃,8.0℃,1.6,0
2020-10-27,14.0℃,19.4℃,9.0℃,1.5,0
2020-10-28,13.8℃,18.2℃,8.6℃,3.8,0
2020-10-29,10.8℃,16.1℃,5.5℃,3.1,0
2020-10-30,11.9℃,19.6℃,5.8℃,0.4,0
2020-10-31,13.6℃,18.2℃,8.5℃,6.1,0
2020-11-01,13.7℃,15.0℃,11.6℃,8.6,13.6mm
2020-11-02,10.8℃,15.6℃,7.9℃,3.0,1.7mm
2020-11-03,5.1℃,8.6℃,2.7℃,1.5,0.5mm
2020-11-04,4.9℃,10.8℃,0.2℃,0.0,0
2020-11-05,9.6℃,15.9℃,3.4℃,5.3,0
2020-11-06,13.5℃,17.2℃,9.9℃,8.9,0
2020-11-07,14.6℃,18.1℃,12.2℃,3.6,0.1mm
2020-11-08,8.5℃,12.4℃,3.1℃,0.0,0
2020-11-09,5.5℃,8.9℃,0.7℃,2.4,0
2020-11-10,7.7℃,12.9℃,3.5℃,0.0,0
2020-11-11,9.3℃,16.5℃,3.5℃,0.0,0
2020-11-12,10.4℃,17.7℃,4.6℃,2.0,0
2020-11-13,12.2℃,17.6℃,8.5℃,3.0,0
2020-11-14,12.5℃,19.3℃,6.8℃,1.3,0
2020-11-15,11.1℃,14.9℃,8.2℃,3.4,0
2020-11-16,12.4℃,18.3℃,7.5℃,2.1,0
2020-11-17,15.9℃,20.0℃,11.7℃,7.4,0.1mm
2020-11-18,16.6℃,18.7℃,14.8℃,9.8,12.2mm
2020-11-19,13.6℃,19.1℃,6.9℃,9.8,86.9mm
2020-11-20,2.8℃,7.0℃,0.3℃,6.6,0.0mm
2020-11-21,6.5℃,12.8℃,-0.3℃,6.1,0.2mm
2020-11-22,5.6℃,9.1℃,1.5℃,7.8,4.8mm
2020-11-23,1.7℃,5.9℃,-1.5℃,0.3,0
2020-11-24,2.9℃,6.4℃,0.2℃,6.1,0
2020-11-25,4.6℃,9.5℃,0.0℃,5.4,0
2020-11-26,5.6℃,10.9℃,1.9℃,5.5,0
2020-11-27,4.1℃,7.7℃,0.6℃,4.9,0.0mm
2020-11-28,-0.1℃,2.8℃,-2.3℃,2.9,0
2020-11-29,-0.6℃,2.6℃,-3.6℃,4.1,0
2020-11-30,-0.2℃,4.3℃,-3.6℃,0.0,0
2020-12-01,1.1℃,6.7℃,-3.6℃,4.4,0
2020-12-02,2.4℃,6.1℃,0.5℃,6.6,0
2020-12-03,0.7℃,4.2℃,-2.3℃,1.0,0
2020-12-04,-0.6℃,4.4℃,-4.6℃,0.9,0
2020-12-05,2.1℃,6.6℃,-2.2℃,5.6,0
2020-12-06,4.5℃,9.1℃,1.2℃,4.3,0
2020-12-07,3.4℃,6.3℃,-0.7℃,3.8,0
2020-12-08,-0.5℃,4.1℃,-3.5℃,0.4,0
2020-12-09,1.5℃,6.2℃,-4.1℃,4.5,0
2020-12-10,5.8℃,9.3℃,3.2℃,7.8,0.0mm
2020-12-11,5.3℃,9.4℃,2.6℃,6.5,0
2020-12-12,2.3℃,6.1℃,-0.3℃,1.8,0
2020-12-13,-1.1℃,2.0℃,-6.0℃,5.4,2.9mm
2020-12-14,-7.7℃,-5.0℃,-9.7℃,0.0,0
2020-12-15,-8.3℃,-4.6℃,-11.1℃,0.0,0
2020-12-16,-8.3℃,-3.9℃,-11.2℃,0.0,0
2020-12-17,-4.9℃,0.8℃,-11.1℃,2.3,0.0mm
2020-12-18,-2.1℃,1.8℃,-6.4℃,4.1,0.2mm
2020-12-19,-5.1℃,-1.2℃,-9.6℃,1.4,0
2020-12-20,-3.7℃,1.1℃,-8.2℃,0.0,0
2020-12-21,-1.0℃,4.7℃,-6.0℃,0.9,0
2020-12-22,2.0℃,7.2℃,-2.5℃,4.8,0
2020-12-23,4.5℃,8.5℃,-0.4℃,7.8,0.0mm
2020-12-24,2.6℃,6.1℃,-2.0℃,1.3,0
2020-12-25,-0.8℃,3.5℃,-4.7℃,0.1,0
2020-12-26,2.2℃,8.0℃,-2.1℃,3.0,0
2020-12-27,5.8℃,10.0℃,1.4℃,7.5,0.0mm
2020-12-28,6.7℃,11.4℃,4.2℃,5.3,1.3mm
2020-12-29,0.1℃,4.3℃,-6.2℃,8.5,0.2mm
2020-12-30,-10.9℃,-6.2℃,-12.9℃,0.8,0
2020-12-31,-8.9℃,-5.0℃,-12.9℃,0.4,0.0mm
2021-01-01,-4.2℃,1.6℃,-9.8℃,3.9,0
2021-01-02,-5.0℃,-1.4℃,-8.4℃,0.0,0
2021-01-03,-5.6℃,-2.0℃,-9.1℃,2.9,0
2021-01-04,-3.5℃,0.3℃,-8.4℃,4.8,0.0mm
2021-01-05,-5.5℃,-2.1℃,-9.9℃,2.6,0.0mm
2021-01-06,-7.4℃,-1.9℃,-12.0℃,3.6,2.3mm
2021-01-07,-14.5℃,-8.4℃,-16.5℃,0.9,0
2021-01-08,-14.9℃,-10.7℃,-18.6℃,0.0,0
2021-01-09,-12.2℃,-7.5℃,-16.6℃,0.8,0
2021-01-10,-7.7℃,-2.7℃,-12.8℃,3.0,0
2021-01-11,-6.7℃,-4.0℃,-9.6℃,6.9,0
2021-01-12,-3.9℃,-0.5℃,-9.3℃,6.1,2.6mm
2021-01-13,2.0℃,8.3℃,-3.0℃,3.0,0.0mm
2021-01-14,1.7℃,7.0℃,-3.6℃,0.0,0
2021-01-15,4.5℃,9.9℃,-0.7℃,8.5,0.2mm
2021-01-16,-4.9℃,-0.7℃,-8.7℃,0.8,0
2021-01-17,-5.5℃,-1.3℃,-10.8℃,2.3,0.0mm
2021-01-18,-3.8℃,0.2℃,-9.1℃,4.3,0.3mm
2021-01-19,-6.3℃,-0.2℃,-11.6℃,0.0,0
2021-01-20,-0.1℃,7.1℃,-6.6℃,1.9,0
2021-01-21,4.5℃,7.0℃,2.5℃,9.6,9.2mm
2021-01-22,5.5℃,6.6℃,4.8℃,9.5,0.1mm
2021-01-23,7.6℃,12.2℃,4.8℃,6.5,0
2021-01-24,7.3℃,13.9℃,2.4℃,3.4,0
2021-01-25,7.9℃,13.9℃,3.0℃,6.3,0
2021-01-26,5.3℃,7.4℃,1.7℃,8.4,1.7mm
2021-01-27,1.7℃,6.5℃,-1.8℃,6.4,0
2021-01-28,-2.6℃,1.4℃,-9.7℃,5.1,2.0mm
2021-01-29,-8.8℃,-4.9℃,-11.6℃,0.3,0
2021-01-30,-1.6℃,5.2℃,-8.1℃,3.9,0.5mm
2021-01-31,3.2℃,8.7℃,-3.8℃,4.8,0
2021-02-01,5.0℃,9.5℃,-2.3℃,7.6,0.7mm
2021-02-02,-5.6℃,-2.4℃,-8.2℃,1.8,0.0mm
2021-02-03,-3.2℃,1.4℃,-9.4℃,5.0,3.4mm
2021-02-04,-3.6℃,0.7℃,-7.4℃,0.1,0.1mm
2021-02-05,1.4℃,6.7℃,-4.4℃,6.0,0
2021-02-06,6.8℃,9.5℃,4.3℃,9.0,0
2021-02-07,3.6℃,7.7℃,-2.6℃,4.4,0
2021-02-08,-3.1℃,0.2℃,-5.4℃,0.0,0
2021-02-09,-0.9℃,4.7℃,-6.1℃,0.1,0
2021-02-10,3.4℃,7.2℃,-1.5℃,6.3,0
2021-02-11,5.5℃,10.9℃,1.3℃,5.3,0
2021-02-12,6.5℃,14.0℃,0.6℃,4.0,0
2021-02-13,7.6℃,15.9℃,1.0℃,1.1,0
2021-02-14,9.5℃,13.8℃,6.4℃,8.1,0.0mm
2021-02-15,1.2℃,8.2℃,-5.2℃,5.8,1.4mm
2021-02-16,-5.1℃,-1.3℃,-7.0℃,4.0,1.5mm
2021-02-17,-8.3℃,-5.2℃,-10.4℃,1.6,0.0mm
2021-02-18,-5.8℃,-0.4℃,-10.6℃,0.0,0
2021-02-19,1.6℃,8.9℃,-7.1℃,3.3,0
2021-02-20,8.8℃,14.9℃,5.5℃,2.4,0
2021-02-21,10.8℃,17.4℃,4.7℃,0.8,0
2021-02-22,7.8℃,12.6℃,0.4℃,2.6,0
2021-02-23,0.0℃,4.3℃,-3.1℃,3.3,0
2021-02-24,2.9℃,10.1℃,-3.0℃,6.5,0
2021-02-25,4.2℃,8.2℃,0.7℃,8.1,0
2021-02-26,8.2℃,15.8℃,0.5℃,4.5,0
2021-02-27,9.5℃,16.2℃,4.3℃,3.5,0
2021-02-28,7.8℃,10.8℃,3.2℃,6.1,0
2021-03-01,4.7℃,9.0℃,0.5℃,10.0,67.5mm
2021-03-02,2.3℃,6.9℃,0.2℃,5.5,0.1mm
2021-03-03,4.4℃,9.9℃,-1.2℃,4.5,0
2021-03-04,7.2℃,13.0℃,2.5℃,6.3,0
2021-03-05,9.0℃,16.2℃,3.0℃,1.3,0
2021-03-06,6.6℃,11.6℃,3.2℃,4.9,0
2021-03-07,6.2℃,12.2℃,2.1℃,3.5,0
2021-03-08,7.0℃,13.9℃,1.5℃,0.0,0
2021-03-09,6.6℃,12.2℃,2.1℃,4.3,0
2021-03-10,8.8℃,17.1℃,1.7℃,0.4,0
2021-03-11,10.2℃,17.1℃,4.7℃,6.4,0
