,날짜,전국,서울,부산,대구,인천,광주,대전,울산,경기,강원,충북,충남,전북,전남,세종,경북,경남,제주
0,05-22,28,29,27,30,34,20,24,30,31,28,29,31,30,23,24,30,25,18
1,05-21,18,22,18,19,21,7,13,22,22,22,18,16,12,8,12,18,16,13
2,05-20,14,14,12,14,19,11,14,14,15,11,13,15,14,15,12,14,15,17
3,05-19,11,12,9,8,16,7,8,10,13,9,10,14,9,7,9,11,8,9
4,05-18,18,18,23,23,22,11,17,25,18,14,15,17,18,11,14,22,20,6
5,05-17,18,14,21,26,17,16,18,29,16,15,16,16,17,18,15,24,22,18
6,05-16,29,31,39,38,34,22,22,41,30,25,24,26,23,25,23,30,34,21
7,05-22,28,29,27,30,34,20,24,30,31,28,29,31,30,23,24,30,25,18
8,05-21,18,22,18,19,21,7,13,22,22,22,18,16,12,8,12,18,16,13
9,05-20,14,14,12,14,19,11,14,14,15,11,13,15,14,15,12,14,15,17
10,05-19,11,12,9,8,16,7,8,10,13,9,10,14,9,7,9,11,8,9
11,05-18,18,18,23,23,22,11,17,25,18,14,15,17,18,11,14,22,20,6
12,05-17,18,14,21,26,17,16,18,29,16,15,16,16,17,18,15,24,22,18
13,05-16,29,31,39,38,34,22,22,41,30,25,24,26,23,25,23,30,34,21
14,05-22,28,29,27,30,34,20,24,30,31,28,29,31,30,23,24,30,25,18
15,05-21,18,22,18,19,21,7,13,22,22,22,18,16,12,8,12,18,16,13
16,05-20,14,14,12,14,19,11,14,14,15,11,13,15,14,15,12,14,15,17
17,05-19,11,12,9,8,16,7,8,10,13,9,10,14,9,7,9,11,8,9
18,05-18,18,18,23,23,22,11,17,25,18,14,15,17,18,11,14,22,20,6
19,05-17,18,14,21,26,17,16,18,29,16,15,16,16,17,18,15,24,22,18
20,05-16,29,31,39,38,34,22,22,41,30,25,24,26,23,25,23,30,34,21
21,05-22,28,29,27,30,34,20,24,30,31,28,29,31,30,23,24,30,25,18
22,05-21,18,22,18,19,21,7,13,22,22,22,18,16,12,8,12,18,16,13
23,05-20,14,14,12,14,19,11,14,14,15,11,13,15,14,15,12,14,15,17
24,05-19,11,12,9,8,16,7,8,10,13,9,10,14,9,7,9,11,8,9
25,05-18,18,18,23,23,22,11,17,25,18,14,15,17,18,11,14,22,20,6
26,05-17,18,14,21,26,17,16,18,29,16,15,16,16,17,18,15,24,22,18
27,05-16,29,31,39,38,34,22,22,41,30,25,24,26,23,25,23,30,34,21
28,05-22,28,29,27,30,34,20,24,30,31,28,29,31,30,23,24,30,25,18
29,05-21,18,22,18,19,21,7,13,22,22,22,18,16,12,8,12,18,16,13
30,05-20,14,14,12,14,19,11,14,14,15,11,13,15,14,15,12,14,15,17
31,05-19,11,12,9,8,16,7,8,10,13,9,10,14,9,7,9,11,8,9
32,05-18,18,18,23,23,22,11,17,25,18,14,15,17,18,11,14,22,20,6
33,05-17,18,14,21,26,17,16,18,29,16,15,16,16,17,18,15,24,22,18
34,05-16,29,31,39,38,34,22,22,41,30,25,24,26,23,25,23,30,34,21
35,05-22,28,29,27,30,34,20,24,30,31,28,29,31,30,23,24,30,25,18
36,05-21,18,22,18,19,21,7,13,22,22,22,18,16,12,8,12,18,16,13
37,05-20,14,14,12,14,19,11,14,14,15,11,13,15,14,15,12,14,15,17
38,05-19,11,12,9,8,16,7,8,10,13,9,10,14,9,7,9,11,8,9
39,05-18,18,18,23,23,22,11,17,25,18,14,15,17,18,11,14,22,20,6
40,05-17,18,14,21,26,17,16,18,29,16,15,16,16,17,18,15,24,22,18
41,05-16,29,31,39,38,34,22,22,41,30,25,24,26,23,25,23,30,34,21
42,05-22,28,29,27,30,34,20,24,30,31,28,29,31,30,23,24,30,25,18
43,05-21,18,22,18,19,21,7,13,22,22,22,18,16,12,8,12,18,16,13
44,05-20,14,14,12,14,19,11,14,14,15,11,13,15,14,15,12,14,15,17
45,05-19,11,12,9,8,16,7,8,10,13,9,10,14,9,7,9,11,8,9
46,05-18,18,18,23,23,22,11,17,25,18,14,15,17,18,11,14,22,20,6
47,05-17,18,14,21,26,17,16,18,29,16,15,16,16,17,18,15,24,22,18
48,05-16,29,31,39,38,34,22,22,41,30,25,24,26,23,25,23,30,34,21
49,05-22,28,29,27,30,34,20,24,30,31,28,29,31,30,23,24,30,25,18
50,05-21,18,22,18,19,21,7,13,22,22,22,18,16,12,8,12,18,16,13
51,05-20,14,14,12,14,19,11,14,14,15,11,13,15,14,15,12,14,15,17
52,05-19,11,12,9,8,16,7,8,10,13,9,10,14,9,7,9,11,8,9
53,05-18,18,18,23,23,22,11,17,25,18,14,15,17,18,11,14,22,20,6
54,05-17,18,14,21,26,17,16,18,29,16,15,16,16,17,18,15,24,22,18
55,05-16,29,31,39,38,34,22,22,41,30,25,24,26,23,25,23,30,34,21
56,05-22,28,29,27,30,34,20,24,30,31,28,29,31,30,23,24,30,25,18
57,05-21,18,22,18,19,21,7,13,22,22,22,18,16,12,8,12,18,16,13
58,05-20,14,14,12,14,19,11,14,14,15,11,13,15,14,15,12,14,15,17
59,05-19,11,12,9,8,16,7,8,10,13,9,10,14,9,7,9,11,8,9
60,05-18,18,18,23,23,22,11,17,25,18,14,15,17,18,11,14,22,20,6
61,05-17,18,14,21,26,17,16,18,29,16,15,16,16,17,18,15,24,22,18
62,05-16,29,31,39,38,34,22,22,41,30,25,24,26,23,25,23,30,34,21
63,05-22,28,29,27,30,34,20,24,30,31,28,29,31,30,23,24,30,25,18
64,05-21,18,22,18,19,21,7,13,22,22,22,18,16,12,8,12,18,16,13
65,05-20,14,14,12,14,19,11,14,14,15,11,13,15,14,15,12,14,15,17
66,05-19,11,12,9,8,16,7,8,10,13,9,10,14,9,7,9,11,8,9
67,05-18,18,18,23,23,22,11,17,25,18,14,15,17,18,11,14,22,20,6
68,05-17,18,14,21,26,17,16,18,29,16,15,16,16,17,18,15,24,22,18
69,05-16,29,31,39,38,34,22,22,41,30,25,24,26,23,25,23,30,34,21
70,05-22,28,29,27,30,34,20,24,30,31,28,29,31,30,23,24,30,25,18
71,05-21,18,22,18,19,21,7,13,22,22,22,18,16,12,8,12,18,16,13
72,05-20,14,14,12,14,19,11,14,14,15,11,13,15,14,15,12,14,15,17
73,05-19,11,12,9,8,16,7,8,10,13,9,10,14,9,7,9,11,8,9
74,05-18,18,18,23,23,22,11,17,25,18,14,15,17,18,11,14,22,20,6
75,05-17,18,14,21,26,17,16,18,29,16,15,16,16,17,18,15,24,22,18
76,05-16,29,31,39,38,34,22,22,41,30,25,24,26,23,25,23,30,34,21
77,05-22,28,29,27,30,34,20,24,30,31,28,29,31,30,23,24,30,25,18
78,05-21,18,22,18,19,21,7,13,22,22,22,18,16,12,8,12,18,16,13
79,05-20,14,14,12,14,19,11,14,14,15,11,13,15,14,15,12,14,15,17
80,05-19,11,12,9,8,16,7,8,10,13,9,10,14,9,7,9,11,8,9
81,05-18,18,18,23,23,22,11,17,25,18,14,15,17,18,11,14,22,20,6
82,05-17,18,14,21,26,17,16,18,29,16,15,16,16,17,18,15,24,22,18
83,05-16,29,31,39,38,34,22,22,41,30,25,24,26,23,25,23,30,34,21
84,05-22,28,29,27,30,34,20,24,30,31,28,29,31,30,23,24,30,25,18
85,05-21,18,22,18,19,21,7,13,22,22,22,18,16,12,8,12,18,16,13
86,05-20,14,14,12,14,19,11,14,14,15,11,13,15,14,15,12,14,15,17
87,05-19,11,12,9,8,16,7,8,10,13,9,10,14,9,7,9,11,8,9
88,05-18,18,18,23,23,22,11,17,25,18,14,15,17,18,11,14,22,20,6
89,05-17,18,14,21,26,17,16,18,29,16,15,16,16,17,18,15,24,22,18
90,05-16,29,31,39,38,34,22,22,41,30,25,24,26,23,25,23,30,34,21
91,05-22,28,29,27,30,34,20,24,30,31,28,29,31,30,23,24,30,25,18
92,05-21,18,22,18,19,21,7,13,22,22,22,18,16,12,8,12,18,16,13
93,05-20,14,14,12,14,19,11,14,14,15,11,13,15,14,15,12,14,15,17
94,05-19,11,12,9,8,16,7,8,10,13,9,10,14,9,7,9,11,8,9
95,05-18,18,18,23,23,22,11,17,25,18,14,15,17,18,11,14,22,20,6
96,05-17,18,14,21,26,17,16,18,29,16,15,16,16,17,18,15,24,22,18
97,05-16,29,31,39,38,34,22,22,41,30,25,24,26,23,25,23,30,34,21
98,05-22,28,29,27,30,34,20,24,30,31,28,29,31,30,23,24,30,25,18
99,05-21,18,22,18,19,21,7,13,22,22,22,18,16,12,8,12,18,16,13
100,05-20,14,14,12,14,19,11,14,14,15,11,13,15,14,15,12,14,15,17
101,05-19,11,12,9,8,16,7,8,10,13,9,10,14,9,7,9,11,8,9
102,05-18,18,18,23,23,22,11,17,25,18,14,15,17,18,11,14,22,20,6
103,05-17,18,14,21,26,17,16,18,29,16,15,16,16,17,18,15,24,22,18
104,05-16,29,31,39,38,34,22,22,41,30,25,24,26,23,25,23,30,34,21
105,05-22,117,115,91,123,139,79,102,113,128,125,108,133,93,117,107,122,121,76
106,05-21,51,77,29,45,58,15,40,39,78,97,60,52,32,16,52,49,28,22
107,05-20,25,23,21,26,28,19,23,23,27,23,25,25,25,27,22,25,25,31
108,05-19,19,22,14,16,27,13,15,17,25,19,18,24,17,15,18,19,14,17
109,05-18,31,33,31,34,39,18,30,38,35,31,30,31,29,18,30,37,28,13
110,05-17,40,34,36,51,35,32,40,53,40,40,42,38,40,32,41,50,37,37
111,05-16,54,56,57,61,59,42,46,63,60,52,50,52,49,43,47,54,50,37
112,05-22,117,115,91,123,139,79,102,113,128,125,108,133,93,117,107,122,121,76
113,05-21,51,77,29,45,58,15,40,39,78,97,60,52,32,16,52,49,28,22
114,05-20,25,23,21,26,28,19,23,23,27,23,25,25,25,27,22,25,25,31
115,05-19,19,22,14,16,27,13,15,17,25,19,18,24,17,15,18,19,14,17
116,05-18,31,33,31,34,39,18,30,38,35,31,30,31,29,18,30,37,28,13
117,05-17,40,34,36,51,35,32,40,53,40,40,42,38,40,32,41,50,37,37
118,05-16,54,56,57,61,59,42,46,63,60,52,50,52,49,43,47,54,50,37
119,05-22,117,115,91,123,139,79,102,113,128,125,108,133,93,117,107,122,121,76
120,05-21,51,77,29,45,58,15,40,39,78,97,60,52,32,16,52,49,28,22
121,05-20,25,23,21,26,28,19,23,23,27,23,25,25,25,27,22,25,25,31
122,05-19,19,22,14,16,27,13,15,17,25,19,18,24,17,15,18,19,14,17
123,05-18,31,33,31,34,39,18,30,38,35,31,30,31,29,18,30,37,28,13
124,05-17,40,34,36,51,35,32,40,53,40,40,42,38,40,32,41,50,37,37
125,05-16,54,56,57,61,59,42,46,63,60,52,50,52,49,43,47,54,50,37
126,05-22,117,115,91,123,139,79,102,113,128,125,108,133,93,117,107,122,121,76
127,05-21,51,77,29,45,58,15,40,39,78,97,60,52,32,16,52,49,28,22
128,05-20,25,23,21,26,28,19,23,23,27,23,25,25,25,27,22,25,25,31
129,05-19,19,22,14,16,27,13,15,17,25,19,18,24,17,15,18,19,14,17
130,05-18,31,33,31,34,39,18,30,38,35,31,30,31,29,18,30,37,28,13
131,05-17,40,34,36,51,35,32,40,53,40,40,42,38,40,32,41,50,37,37
132,05-16,54,56,57,61,59,42,46,63,60,52,50,52,49,43,47,54,50,37
133,05-22,117,115,91,123,139,79,102,113,128,125,108,133,93,117,107,122,121,76
134,05-21,51,77,29,45,58,15,40,39,78,97,60,52,32,16,52,49,28,22
135,05-20,25,23,21,26,28,19,23,23,27,23,25,25,25,27,22,25,25,31
136,05-19,19,22,14,16,27,13,15,17,25,19,18,24,17,15,18,19,14,17
137,05-18,31,33,31,34,39,18,30,38,35,31,30,31,29,18,30,37,28,13
138,05-17,40,34,36,51,35,32,40,53,40,40,42,38,40,32,41,50,37,37
139,05-16,54,56,57,61,59,42,46,63,60,52,50,52,49,43,47,54,50,37
140,05-22,117,115,91,123,139,79,102,113,128,125,108,133,93,117,107,122,121,76
141,05-21,51,77,29,45,58,15,40,39,78,97,60,52,32,16,52,49,28,22
142,05-20,25,23,21,26,28,19,23,23,27,23,25,25,25,27,22,25,25,31
143,05-19,19,22,14,16,27,13,15,17,25,19,18,24,17,15,18,19,14,17
144,05-18,31,33,31,34,39,18,30,38,35,31,30,31,29,18,30,37,28,13
145,05-17,40,34,36,51,35,32,40,53,40,40,42,38,40,32,41,50,37,37
146,05-16,54,56,57,61,59,42,46,63,60,52,50,52,49,43,47,54,50,37
147,05-22,117,115,91,123,139,79,102,113,128,125,108,133,93,117,107,122,121,76
148,05-21,51,77,29,45,58,15,40,39,78,97,60,52,32,16,52,49,28,22
149,05-20,25,23,21,26,28,19,23,23,27,23,25,25,25,27,22,25,25,31
150,05-19,19,22,14,16,27,13,15,17,25,19,18,24,17,15,18,19,14,17
151,05-18,31,33,31,34,39,18,30,38,35,31,30,31,29,18,30,37,28,13
152,05-17,40,34,36,51,35,32,40,53,40,40,42,38,40,32,41,50,37,37
153,05-16,54,56,57,61,59,42,46,63,60,52,50,52,49,43,47,54,50,37
154,05-22,117,115,91,123,139,79,102,113,128,125,108,133,93,117,107,122,121,76
155,05-21,51,77,29,45,58,15,40,39,78,97,60,52,32,16,52,49,28,22
156,05-20,25,23,21,26,28,19,23,23,27,23,25,25,25,27,22,25,25,31
157,05-19,19,22,14,16,27,13,15,17,25,19,18,24,17,15,18,19,14,17
158,05-18,31,33,31,34,39,18,30,38,35,31,30,31,29,18,30,37,28,13
159,05-17,40,34,36,51,35,32,40,53,40,40,42,38,40,32,41,50,37,37
160,05-16,54,56,57,61,59,42,46,63,60,52,50,52,49,43,47,54,50,37
161,05-22,117,115,91,123,139,79,102,113,128,125,108,133,93,117,107,122,121,76
162,05-21,51,77,29,45,58,15,40,39,78,97,60,52,32,16,52,49,28,22
163,05-20,25,23,21,26,28,19,23,23,27,23,25,25,25,27,22,25,25,31
164,05-19,19,22,14,16,27,13,15,17,25,19,18,24,17,15,18,19,14,17
165,05-18,31,33,31,34,39,18,30,38,35,31,30,31,29,18,30,37,28,13
166,05-17,40,34,36,51,35,32,40,53,40,40,42,38,40,32,41,50,37,37
167,05-16,54,56,57,61,59,42,46,63,60,52,50,52,49,43,47,54,50,37
168,05-22,117,115,91,123,139,79,102,113,128,125,108,133,93,117,107,122,121,76
169,05-21,51,77,29,45,58,15,40,39,78,97,60,52,32,16,52,49,28,22
170,05-20,25,23,21,26,28,19,23,23,27,23,25,25,25,27,22,25,25,31
171,05-19,19,22,14,16,27,13,15,17,25,19,18,24,17,15,18,19,14,17
172,05-18,31,33,31,34,39,18,30,38,35,31,30,31,29,18,30,37,28,13
173,05-17,40,34,36,51,35,32,40,53,40,40,42,38,40,32,41,50,37,37
174,05-16,54,56,57,61,59,42,46,63,60,52,50,52,49,43,47,54,50,37
175,05-22,117,115,91,123,139,79,102,113,128,125,108,133,93,117,107,122,121,76
176,05-21,51,77,29,45,58,15,40,39,78,97,60,52,32,16,52,49,28,22
177,05-20,25,23,21,26,28,19,23,23,27,23,25,25,25,27,22,25,25,31
178,05-19,19,22,14,16,27,13,15,17,25,19,18,24,17,15,18,19,14,17
179,05-18,31,33,31,34,39,18,30,38,35,31,30,31,29,18,30,37,28,13
180,05-17,40,34,36,51,35,32,40,53,40,40,42,38,40,32,41,50,37,37
181,05-16,54,56,57,61,59,42,46,63,60,52,50,52,49,43,47,54,50,37
182,05-22,117,115,91,123,139,79,102,113,128,125,108,133,93,117,107,122,121,76
183,05-21,51,77,29,45,58,15,40,39,78,97,60,52,32,16,52,49,28,22
184,05-20,25,23,21,26,28,19,23,23,27,23,25,25,25,27,22,25,25,31
185,05-19,19,22,14,16,27,13,15,17,25,19,18,24,17,15,18,19,14,17
186,05-18,31,33,31,34,39,18,30,38,35,31,30,31,29,18,30,37,28,13
187,05-17,40,34,36,51,35,32,40,53,40,40,42,38,40,32,41,50,37,37
188,05-16,54,56,57,61,59,42,46,63,60,52,50,52,49,43,47,54,50,37
189,05-22,117,115,91,123,139,79,102,113,128,125,108,133,93,117,107,122,121,76
190,05-21,51,77,29,45,58,15,40,39,78,97,60,52,32,16,52,49,28,22
191,05-20,25,23,21,26,28,19,23,23,27,23,25,25,25,27,22,25,25,31
192,05-19,19,22,14,16,27,13,15,17,25,19,18,24,17,15,18,19,14,17
193,05-18,31,33,31,34,39,18,30,38,35,31,30,31,29,18,30,37,28,13
194,05-17,40,34,36,51,35,32,40,53,40,40,42,38,40,32,41,50,37,37
195,05-16,54,56,57,61,59,42,46,63,60,52,50,52,49,43,47,54,50,37
196,05-22,117,115,91,123,139,79,102,113,128,125,108,133,93,117,107,122,121,76
197,05-21,51,77,29,45,58,15,40,39,78,97,60,52,32,16,52,49,28,22
198,05-20,25,23,21,26,28,19,23,23,27,23,25,25,25,27,22,25,25,31
199,05-19,19,22,14,16,27,13,15,17,25,19,18,24,17,15,18,19,14,17
200,05-18,31,33,31,34,39,18,30,38,35,31,30,31,29,18,30,37,28,13
